categories,documentation-url,end-date,entry-date,geography,geometry,legislation,name,notes,organisation,point,reference,start-date,slug
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:6592,"MULTIPOLYGON (((1.748030 52.512815,1.748512 52.511498,1.748399 52.511427,1.748288 52.511401,1.745272 52.510898,1.744609 52.512733,1.747145 52.513002,1.747890 52.512942,1.748030 52.512815)))",,Corton Road Football Pitch,,local-authority-eng:ESK,,,,/open-space/open-space/6592
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:6594,"MULTIPOLYGON (((1.717814 52.489844,1.717914 52.489801,1.717923 52.489677,1.716567 52.489654,1.715861 52.489589,1.715485 52.489503,1.715564 52.489214,1.715546 52.489193,1.714469 52.488958,1.714079 52.489268,1.715547 52.489894,1.715995 52.489758,1.716462 52.489715,1.716812 52.489735,1.717373 52.489830,1.717814 52.489844)))",,Dunston Drive,,local-authority-eng:ESK,,,,/open-space/open-space/6594
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:6595,"MULTIPOLYGON (((1.727779 52.490909,1.727928 52.490846,1.728420 52.490729,1.728462 52.489989,1.727899 52.489986,1.727882 52.490193,1.727717 52.490860,1.727779 52.490909)))",,Thirlmere Walk,,local-authority-eng:ESK,,,,/open-space/open-space/6595
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:6911,"MULTIPOLYGON (((1.590888 52.449767,1.591409 52.449725,1.591532 52.448211,1.591367 52.448019,1.591093 52.447914,1.590237 52.447856,1.589947 52.447960,1.589922 52.447987,1.589935 52.448357,1.590705 52.448442,1.590679 52.449063,1.590837 52.449771,1.590888 52.449767)))",,Woodfield Park,,local-authority-eng:ESK,,,,/open-space/open-space/6911
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:6912,"MULTIPOLYGON (((1.603734 52.449881,1.603605 52.449202,1.603071 52.448902,1.602782 52.449127,1.602515 52.448944,1.602678 52.448797,1.601554 52.448456,1.601655 52.448891,1.601476 52.449253,1.601394 52.449299,1.601103 52.449671,1.601002 52.449641,1.601020 52.449731,1.600939 52.449737,1.600989 52.449936,1.603734 52.449881)))",,Werels Loke,,local-authority-eng:ESK,,,,/open-space/open-space/6912
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:374,"MULTIPOLYGON (((1.708734 52.515181,1.708654 52.515101,1.708900 52.514981,1.708361 52.514527,1.708108 52.515103,1.708116 52.515164,1.708209 52.515283,1.708304 52.515308,1.708734 52.515181)))",,Village Hall,,local-authority-eng:ESK,,,,/open-space/open-space/374
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:387,"MULTIPOLYGON (((1.699969 52.458153,1.699745 52.458383,1.700312 52.458601,1.700532 52.458387,1.700475 52.458368,1.700559 52.458264,1.700292 52.458181,1.700170 52.458234,1.699969 52.458153)))",,Kingswood Avenue,,local-authority-eng:ESK,,,,/open-space/open-space/387
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:5284,"MULTIPOLYGON (((1.581603 52.447269,1.581910 52.447265,1.581827 52.446897,1.581715 52.446619,1.581484 52.446673,1.581372 52.446748,1.581468 52.447294,1.581603 52.447269)))",,Foxglove Close,,local-authority-eng:ESK,,,,/open-space/open-space/5284
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:5617,"MULTIPOLYGON (((1.632231 52.447913,1.631625 52.447816,1.631622 52.447859,1.631450 52.447952,1.631304 52.448095,1.631232 52.448289,1.631270 52.449013,1.632337 52.448998,1.632289 52.448957,1.632198 52.448707,1.632184 52.448432,1.632231 52.447913)))",,Pinewood Gardens,,local-authority-eng:ESK,,,,/open-space/open-space/5617
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:2739,"MULTIPOLYGON (((1.665437 52.383710,1.665660 52.383667,1.666248 52.383545,1.666221 52.383465,1.666143 52.383394,1.665466 52.383089,1.664955 52.383201,1.665314 52.383703,1.665437 52.383710)))",,Bonsey Gardens,,local-authority-eng:ESK,,,,/open-space/open-space/2739
